tO,tOW,trigger,tK,tKW,KLKneeX,KLKneeY,KLKneeZ,KLAnkleX,KLAnkleY,KLAnkleZ,KLFootX,KLFootY,KLFootZ,KRKneeX,KRKneeY,KRKneeZ,KRAnkleX,KRAnkleY,KRAnkleZ,KRFootX,KRFootY,KRFootZ,tDiffR,WLKneeX,WLKneeY,WLKneeZ,WLAnkleX,WLAnkleY,WLAnkleZ,WLFootX,WLFootY,WLFootZ,WRKneeX,WRKneeY,WRKneeZ,WRAnkleX,WRAnkleY,WRAnkleZ,WRFootX,WRFootY,WRFootZ,
8512310,149287562,0,11933,149287562,-0.0777988,-0.403319,1.35348,-0.0616205,-0.704088,1.35749,-0.0650121,-0.734684,1.21283,0.101418,-0.414631,1.3452,0.0938332,-0.740008,1.36976,0.0865174,-0.770041,1.22545,53,-1.50347,0.077897,0.296681,-1.50748,0.061719,-0.0040884,-1.36283,0.0651012,-0.0346843,-1.49521,-0.10132,0.285369,-1.51977,-0.0937339,-0.0400077,-1.37546,-0.0864275,-0.0700406,
8512310,149287562,0,11966,149287593,-0.0778146,-0.403425,1.35343,-0.0611318,-0.704651,1.35826,-0.0644792,-0.735242,1.2136,0.10139,-0.414665,1.34514,0.093625,-0.711456,1.37117,0.0863537,-0.742063,1.22655,85,-1.50343,0.0779128,0.296575,-1.50826,0.0612304,-0.00465143,-1.3636,0.0645683,-0.0352423,-1.49514,-0.101293,0.285335,-1.52117,-0.0935256,-0.0114556,-1.37655,-0.0862637,-0.0420629,
8512310,149287562,0,12000,149287640,-0.0778196,-0.403432,1.35342,-0.0608118,-0.705274,1.35906,-0.0640878,-0.735857,1.2144,0.101343,-0.414596,1.34499,0.0932324,-0.710398,1.37123,0.0860509,-0.741024,1.2266,23,-1.50341,0.0779178,0.296568,-1.50905,0.0609104,-0.00527346,-1.3644,0.0641769,-0.0358573,-1.495,-0.101246,0.285404,-1.52124,-0.093133,-0.0103976,-1.3766,-0.0859609,-0.0410237,
8512310,149287562,0,12032,149287671,-0.0778526,-0.403421,1.35339,-0.0609142,-0.705333,1.3591,-0.0640516,-0.735913,1.21443,0.101325,-0.414616,1.34487,0.0927574,-0.70773,1.37156,0.0857224,-0.738409,1.22689,39,-1.50339,0.0779508,0.296579,-1.50909,0.0610128,-0.00533307,-1.36443,0.0641407,-0.0359131,-1.49488,-0.101227,0.285384,-1.52157,-0.092658,-0.00772995,-1.3769,-0.0856325,-0.0384093,
8512310,149287562,0,12066,149287703,-0.0779977,-0.40357,1.35354,-0.0607956,-0.705383,1.35939,-0.0635137,-0.735965,1.21471,0.101239,-0.414423,1.34471,0.0927139,-0.706891,1.37183,0.0861023,-0.73759,1.22714,71,-1.50353,0.0780959,0.29643,-1.50939,0.0608942,-0.00538254,-1.36471,0.0636029,-0.0359654,-1.49472,-0.101141,0.285577,-1.52184,-0.0926144,-0.00689054,-1.37714,-0.0860123,-0.0375902,
8512310,149287562,0,12100,149287750,-0.078047,-0.40364,1.35354,-0.0608446,-0.704905,1.35848,-0.0634246,-0.735486,1.21379,0.101226,-0.41429,1.34458,0.0927845,-0.706166,1.37193,0.0863066,-0.736879,1.22722,26,-1.50353,0.0781452,0.29636,-1.50847,0.0609432,-0.0049054,-1.36379,0.0635138,-0.0354856,-1.49459,-0.101128,0.28571,-1.52193,-0.0926851,-0.00616604,-1.37722,-0.0862166,-0.0368785,
8512310,149287562,0,12132,149287781,-0.0781539,-0.403536,1.35349,-0.0614735,-0.704511,1.35786,-0.0638715,-0.735085,1.21317,0.101147,-0.414355,1.34448,0.0928535,-0.706131,1.37187,0.086539,-0.736835,1.22715,58,-1.50348,0.0782521,0.296464,-1.50785,0.061572,-0.0045113,-1.36316,0.0639606,-0.0350852,-1.49448,-0.101049,0.285645,-1.52188,-0.0927541,-0.00613046,-1.37716,-0.086449,-0.036835,
8512310,149287562,0,12166,149287796,-0.0781688,-0.403617,1.3533,-0.0616411,-0.704398,1.35715,-0.0638315,-0.734943,1.21245,0.10107,-0.414382,1.34444,0.0928607,-0.706067,1.37186,0.0867485,-0.736749,1.22713,74,-1.5033,0.078267,0.296383,-1.50715,0.0617396,-0.00439763,-1.36244,0.0639205,-0.034943,-1.49445,-0.100973,0.285618,-1.52187,-0.0927612,-0.00606662,-1.37714,-0.0866585,-0.0367488,
8512310,149287562,0,12232,149287875,-0.0781743,-0.403571,1.35315,-0.0619589,-0.703964,1.3568,-0.0639592,-0.73447,1.21207,0.100766,-0.41447,1.34437,0.0928609,-0.705688,1.37202,0.0869302,-0.736335,1.22726,60,-1.50315,0.0782725,0.296429,-1.50679,0.0620573,-0.0039643,-1.36207,0.0640482,-0.0344698,-1.49438,-0.100668,0.28553,-1.52202,-0.0927615,-0.00568831,-1.37727,-0.0868402,-0.0363347,
8512310,149287562,0,12266,149287921,-0.0781953,-0.403618,1.35316,-0.0619484,-0.704043,1.3569,-0.0637176,-0.734396,1.21211,0.100475,-0.414569,1.34431,0.0928698,-0.705604,1.37195,0.0871701,-0.7361,1.22713,-1,-1.50316,0.0782935,0.296382,-1.5069,0.0620468,-0.00404322,-1.36211,0.0638066,-0.0343964,-1.49432,-0.100378,0.285431,-1.52196,-0.0927703,-0.00560433,-1.37714,-0.0870802,-0.0360998,
