tO,tOW,trigger,tK,tKW,KLKneeX,KLKneeY,KLKneeZ,KLAnkleX,KLAnkleY,KLAnkleZ,KLFootX,KLFootY,KLFootZ,KRKneeX,KRKneeY,KRKneeZ,KRAnkleX,KRAnkleY,KRAnkleZ,KRFootX,KRFootY,KRFootZ,tDiffR,WLKneeX,WLKneeY,WLKneeZ,WLAnkleX,WLAnkleY,WLAnkleZ,WLFootX,WLFootY,WLFootZ,WRKneeX,WRKneeY,WRKneeZ,WRAnkleX,WRAnkleY,WRAnkleZ,WRFootX,WRFootY,WRFootZ,
47872567,154855109,1,27000,154856093,0.25209,-0.463951,1.51888,0.132728,-0.704676,1.47704,0.0581526,-0.73781,1.35967,0.555741,-0.455192,1.52579,0.61762,-0.748618,1.63045,0.544439,-0.742137,1.68152,50,-1.09066,-0.337887,0.236049,-1.05196,-0.217473,-0.00467616,-0.936571,-0.139858,-0.0378098,-1.08964,-0.641616,0.244808,-1.19265,-0.706207,-0.0486175,-1.24562,-0.634385,-0.0421367,
47872567,154855109,1,27067,154856140,0.208757,-0.47473,1.52037,0.117296,-0.723913,1.48071,0.0485057,-0.756761,1.35918,0.524554,-0.471546,1.56763,0.601132,-0.748927,1.68198,0.516885,-0.722286,1.72195,4,-1.05876,-0.297279,0.22527,-1.02169,-0.204736,-0.0239125,-0.895683,-0.127146,-0.056761,-1.09228,-0.608213,0.228454,-1.20469,-0.6876,-0.048927,-1.24674,-0.604369,-0.0222861,
48936410,154856171,0,27100,154856171,0.190234,-0.462586,1.52061,0.0949503,-0.711399,1.49646,0.102419,-0.786926,1.41667,0.515945,-0.471027,1.57572,0.593621,-0.748857,1.69562,0.505988,-0.719703,1.73112,36,-1.02954,-0.274947,0.237414,-1.00791,-0.179058,-0.011399,-0.927949,-0.184418,-0.0869256,-1.07603,-0.601998,0.228973,-1.19385,-0.682811,-0.0488568,-1.23165,-0.596146,-0.0197026,
48936410,154856171,0,27133,154856218,0.167623,-0.455652,1.52478,0.0807923,-0.70824,1.50942,0.0829447,-0.788812,1.4395,0.492948,-0.465067,1.58704,0.584308,-0.752512,1.72363,0.512405,-0.787389,1.59926,84,-0.99832,-0.255638,0.244348,-0.985477,-0.1684,-0.0082401,-0.915517,-0.168537,-0.088812,-1.05119,-0.582622,0.234933,-1.18508,-0.677881,-0.0525122,-1.06284,-0.602423,-0.0873893,
48936410,154856171,0,27167,154856265,0.147915,-0.452789,1.53516,0.0672638,-0.714047,1.52934,0.0766348,-0.79195,1.45413,0.470111,-0.461071,1.59293,0.573818,-0.752825,1.73552,0.504212,-0.787676,1.60967,38,-0.968077,-0.230249,0.247211,-0.964343,-0.149474,-0.0140467,-0.888913,-0.156899,-0.0919498,-1.0175,-0.553829,0.238929,-1.15737,-0.661185,-0.0528249,-1.03336,-0.588352,-0.0876763,
48936410,154856171,0,27233,154856296,0.100931,-0.465604,1.57667,0.0544162,-0.728043,1.58773,0.00217164,-0.761239,1.45604,0.397088,-0.453887,1.58534,0.513393,-0.739744,1.75011,0.452794,-0.774423,1.61912,54,-0.998705,-0.185413,0.234396,-1.01101,-0.139209,-0.028043,-0.880749,-0.0834781,-0.0612393,-0.99949,-0.481696,0.246113,-1.16112,-0.602345,-0.0397443,-1.03178,-0.538281,-0.0744229,
48936410,154856171,0,27267,154856328,0.0948973,-0.464687,1.58652,0.0538569,-0.729045,1.59706,0.0037389,-0.762288,1.46426,0.371812,-0.452178,1.57625,0.490266,-0.730366,1.75295,0.432172,-0.765162,1.62071,86,-0.984565,-0.18178,0.235313,-0.996261,-0.141053,-0.0290447,-0.864926,-0.0872132,-0.062288,-0.966496,-0.458295,0.247822,-1.13979,-0.581682,-0.0303658,-1.00924,-0.519884,-0.0651615,
48936410,154856171,0,27299,154856359,0.0840528,-0.462485,1.60831,0.0546797,-0.731006,1.62547,0.00855016,-0.764477,1.49074,0.331213,-0.449885,1.56626,0.454571,-0.721651,1.74933,0.401062,-0.756546,1.61507,24,-0.981233,-0.170325,0.237515,-0.99921,-0.141443,-0.0310062,-0.865825,-0.0915617,-0.0644765,-0.932283,-0.416211,0.250115,-1.11184,-0.544644,-0.0216514,-0.979121,-0.487399,-0.0565459,
48936410,154856171,0,27333,154856375,0.0750352,-0.460316,1.62707,0.0513732,-0.729069,1.64599,0.00901268,-0.762811,1.50965,0.315677,-0.456362,1.56623,0.418884,-0.729947,1.75843,0.369746,-0.764794,1.62253,40,-0.988022,-0.162597,0.239684,-1.00761,-0.139485,-0.0290688,-0.872541,-0.0932436,-0.0628111,-0.92033,-0.4014,0.243638,-1.1095,-0.510061,-0.0299465,-0.975061,-0.457057,-0.064794,
48936410,154856171,0,27367,154856421,0.058493,-0.486445,1.65733,0.0464944,-0.749789,1.67439,0.0415821,-0.823178,1.5882,0.284925,-0.462772,1.56323,0.389821,-0.737707,1.75284,0.345798,-0.77244,1.6152,88,-0.982121,-0.149267,0.213555,-0.999539,-0.137794,-0.0497885,-0.91354,-0.13026,-0.123178,-0.881175,-0.37273,0.237228,-1.0675,-0.48335,-0.0377071,-0.931264,-0.435157,-0.0724403,
48936410,154856171,0,27400,154856453,0.0560196,-0.482718,1.66864,0.0467236,-0.743888,1.70071,0.0568206,-0.823383,1.62683,0.263228,-0.470342,1.56532,0.355979,-0.756004,1.74606,0.315842,-0.790397,1.60736,27,-0.964395,-0.145485,0.217282,-0.996732,-0.137158,-0.043888,-0.922579,-0.145028,-0.123383,-0.854891,-0.349491,0.229658,-1.03276,-0.447637,-0.0560036,-0.895331,-0.403347,-0.0903966,
48936410,154856171,0,27433,154856484,0.0436663,-0.513957,1.70851,0.0464158,-0.77596,1.73489,0.0813423,-0.704287,1.62357,0.240545,-0.471886,1.56216,0.307153,-0.760167,1.71249,0.272162,-0.7943,1.57256,59,-0.980518,-0.135291,0.186043,-1.00681,-0.138856,-0.0759596,-0.894453,-0.170318,-0.00428677,-0.82814,-0.327542,0.228114,-0.976342,-0.398775,-0.0601674,-0.83756,-0.359466,-0.0943002,
48936410,154856171,0,27467,154856515,0.0376357,-0.516896,1.71931,0.0450806,-0.775043,1.76457,0.0746295,-0.728641,1.63809,0.214535,-0.469597,1.55542,0.237483,-0.742211,1.66674,0.206536,-0.776383,1.52599,91,-0.967414,-0.130562,0.183104,-1.01241,-0.139445,-0.0750425,-0.885053,-0.164949,-0.028641,-0.79797,-0.302148,0.230403,-0.908497,-0.328632,-0.0422108,-0.768808,-0.293215,-0.076383,
48936410,154856171,0,27500,154856562,0.0260141,-0.523057,1.74409,0.0437481,-0.780394,1.79049,0.0842198,-0.720132,1.67456,0.197046,-0.468673,1.54983,0.196016,-0.750252,1.64171,0.169673,-0.784349,1.50028,29,-0.964447,-0.118483,0.176943,-1.01025,-0.13768,-0.0803939,-0.8931,-0.174452,-0.0201323,-0.764853,-0.283263,0.231327,-0.856713,-0.285149,-0.0502524,-0.716197,-0.25433,-0.0843488,
48936410,154856171,0,27533,154856593,0.018655,-0.525248,1.75736,0.0466736,-0.778791,1.81464,0.0435822,-0.748436,1.67947,0.177618,-0.465781,1.5438,0.163078,-0.722154,1.59691,0.200241,-0.797116,1.5938,61,-0.95395,-0.111864,0.174752,-1.0103,-0.141719,-0.078791,-0.875299,-0.134263,-0.0484362,-0.735371,-0.263847,0.234219,-0.788922,-0.25103,-0.0221541,-0.784616,-0.288073,-0.097116,
